Cycle;FreqIndex;Omega;Iterations;Error;Time;FromFunction
0;1;10.78004;27;9.005684842122719e-5;1.97089959;SensMatVec
0;1;10.78004;24;8.786655234871432e-5;1.7058534;SensTMatVec
0;1;10.78004;27;8.650327799841762e-5;1.935015572;SensMatVec
0;1;10.78004;24;9.499501175014302e-5;1.821308841;SensTMatVec
0;1;10.78004;27;9.374625369673595e-5;1.972461239;SensMatVec
0;1;10.78004;24;8.919601532397792e-5;1.937250695;SensTMatVec
0;1;10.78004;28;7.83778668846935e-5;2.058219419;SensMatVec
0;1;10.78004;25;7.204881694633514e-5;1.937859748;SensTMatVec
0;1;10.78004;27;8.032996265683323e-5;1.979787163;SensMatVec
0;1;10.78004;24;7.712236401857808e-5;1.823388934;SensTMatVec
0;1;10.78004;35;9.222735002367699e-7;2.542213238;getData
0;1;10.78004;25;7.296385592781007e-5;1.775670295;SensTMatVec
0;1;10.78004;28;9.794552170205861e-5;1.999055129;SensMatVec
0;1;10.78004;25;9.292352478951216e-5;1.976662381;SensTMatVec
0;1;10.78004;28;8.180680742952973e-5;2.019096265;SensMatVec
0;1;10.78004;25;7.643746357643977e-5;1.936077956;SensTMatVec
0;1;10.78004;28;7.669508340768516e-5;2.027538523;SensMatVec
0;1;10.78004;25;7.780156738590449e-5;2.045068499;SensTMatVec
0;1;10.78004;28;7.241540879476815e-5;2.033516687;SensMatVec
0;1;10.78004;25;8.150396752171218e-5;2.02914125;SensTMatVec
0;1;10.78004;28;7.297400588868186e-5;2.045930946;SensMatVec
0;1;10.78004;25;8.587208139942959e-5;1.973216266;SensTMatVec
0;1;10.78004;27;9.020675497595221e-5;1.973423915;SensMatVec
0;1;10.78004;25;7.329934305744246e-5;1.98745634;SensTMatVec
0;1;10.78004;28;8.388001879211515e-5;2.022623842;SensMatVec
0;1;10.78004;25;9.375470835948363e-5;1.985053031;SensTMatVec
0;1;10.78004;35;8.713216175237903e-7;2.595588518;getData
0;1;10.78004;25;7.052441651467234e-5;1.975632779;SensTMatVec
0;1;10.78004;28;9.465418406762183e-5;2.070302276;SensMatVec
0;1;10.78004;25;8.409864676650614e-5;2.093765332;SensTMatVec
0;1;10.78004;28;7.087463018251583e-5;2.229620583;SensMatVec
0;1;10.78004;24;9.977121226256713e-5;1.763777194;SensTMatVec
0;1;10.78004;28;7.593261398142204e-5;2.053458568;SensMatVec
0;1;10.78004;24;9.868318011285737e-5;1.742389822;SensTMatVec
0;1;10.78004;28;7.458223990397528e-5;2.290477087;SensMatVec
0;1;10.78004;25;7.233845099108294e-5;1.899495577;SensTMatVec
0;1;10.78004;28;6.991139525780454e-5;2.142686748;SensMatVec
0;1;10.78004;25;7.288767665158957e-5;1.905358306;SensTMatVec
0;1;10.78004;29;6.722967373207211e-5;2.226718819;SensMatVec
0;1;10.78004;25;8.960056584328413e-5;1.93034451;SensTMatVec
0;1;10.78004;28;8.448204607702792e-5;2.134862579;SensMatVec
0;1;10.78004;25;7.083125092322007e-5;1.840242571;SensTMatVec
0;1;10.78004;36;8.123191719278111e-7;2.763835705;getData
0;1;10.78004;25;8.63778404891491e-5;1.893491454;SensTMatVec
0;1;10.78004;29;7.705725874984637e-5;2.267256085;SensMatVec
0;1;10.78004;26;7.560677477158606e-5;1.95093119;SensTMatVec
